filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80495b 	
| V:1 D:0 Tag: 0x80495a 	
| V:1 D:0 Tag: 0x803fee 	
| V:1 D:0 Tag: 0x803fed 	
| V:1 D:0 Tag: 0x8044a9 	
| V:1 D:0 Tag: 0x8044a8 	
| V:1 D:0 Tag: 0x8044a5 	
| V:1 D:0 Tag: 0x8044a4 	
| V:1 D:0 Tag: 0x8044a6 	
| V:1 D:0 Tag: 0x8044a3 	
| V:1 D:0 Tag: 0x80448b 	
| V:1 D:0 Tag: 0x80448a 	
| V:1 D:0 Tag: 0x804489 	
| V:1 D:0 Tag: 0x804488 	
| V:1 D:0 Tag: 0x804487 	
| V:1 D:0 Tag: 0x80448c 	
| V:1 D:0 Tag: 0x80448d 	
| V:1 D:0 Tag: 0x8053b9 	
| V:1 D:0 Tag: 0x8053b8 	
| V:1 D:0 Tag: 0x8053b7 	
| V:1 D:0 Tag: 0x804486 	
| V:1 D:0 Tag: 0x804484 	
| V:1 D:0 Tag: 0x804483 	
| V:1 D:0 Tag: 0x8053b6 	
| V:1 D:0 Tag: 0x8053b5 	
| V:1 D:0 Tag: 0x8053b4 	
| V:1 D:0 Tag: 0x804482 	
| V:1 D:0 Tag: 0x804481 	
| V:1 D:0 Tag: 0x804480 	
| V:1 D:0 Tag: 0x80447f 	
| V:1 D:0 Tag: 0x80447e 	
| V:1 D:0 Tag: 0x80447d 	
| V:1 D:0 Tag: 0x8044a2 	
| V:1 D:0 Tag: 0x803fec 	
| V:1 D:0 Tag: 0x803fe9 	
| V:1 D:0 Tag: 0x803fe8 	
| V:1 D:0 Tag: 0x803f8e 	
| V:1 D:0 Tag: 0x803f8d 	
| V:1 D:0 Tag: 0x8073a5 	
| V:1 D:0 Tag: 0x8073a4 	
| V:1 D:0 Tag: 0x800015 	
| V:1 D:0 Tag: 0x800014 	
| V:1 D:0 Tag: 0x800013 	
| V:1 D:0 Tag: 0x800011 	
| V:1 D:0 Tag: 0x800010 	
| V:1 D:0 Tag: 0x803f8b 	
| V:1 D:0 Tag: 0x803f8a 	
| V:1 D:0 Tag: 0x803fe7 	
| V:1 D:0 Tag: 0x803fe6 	
| V:1 D:0 Tag: 0x803fe5 	
| V:1 D:0 Tag: 0x803fe4 	
| V:1 D:0 Tag: 0x803fe3 	
| V:1 D:0 Tag: 0x803fe2 	
| V:1 D:0 Tag: 0x803223 	
| V:1 D:0 Tag: 0x801633 	
| V:1 D:0 Tag: 0x80162d 	
| V:1 D:0 Tag: 0x80163c 	
| V:1 D:0 Tag: 0x80163a 	
| V:1 D:0 Tag: 0x801639 	
| V:1 D:0 Tag: 0x801638 	
| V:1 D:0 Tag: 0x80162f 	
| V:1 D:0 Tag: 0x80162e 	
| V:1 D:0 Tag: 0x802b6b 	
| V:1 D:0 Tag: 0x802b6a 	
| V:1 D:0 Tag: 0x802b68 	
| V:1 D:0 Tag: 0x802b67 	
| V:1 D:0 Tag: 0x802b66 	
| V:1 D:0 Tag: 0x802e50 	
| V:1 D:0 Tag: 0x802e4f 	
| V:1 D:0 Tag: 0x802e29 	
| V:1 D:0 Tag: 0x802e28 	
| V:1 D:0 Tag: 0x802e2d 	
| V:1 D:0 Tag: 0x802e16 	
| V:1 D:0 Tag: 0x802e15 	
| V:1 D:0 Tag: 0x802e11 	
| V:1 D:0 Tag: 0x802e10 	
| V:1 D:0 Tag: 0x802e0f 	
| V:1 D:0 Tag: 0x802e13 	
| V:1 D:0 Tag: 0x802e12 	
| V:1 D:0 Tag: 0x802d97 	
| V:1 D:0 Tag: 0x802d96 	
| V:1 D:0 Tag: 0x802d95 	
| V:1 D:0 Tag: 0x80325b 	
| V:1 D:0 Tag: 0x80325a 	
| V:1 D:0 Tag: 0x803259 	
| V:1 D:0 Tag: 0x803258 	
| V:1 D:0 Tag: 0x803237 	
| V:1 D:0 Tag: 0x803236 	
| V:1 D:0 Tag: 0x803235 	
| V:1 D:0 Tag: 0x80494e 	
| V:1 D:0 Tag: 0x803234 	
| V:1 D:0 Tag: 0x803257 	
| V:1 D:0 Tag: 0x8040f7 	
| V:1 D:0 Tag: 0x8040f6 	
| V:1 D:0 Tag: 0x8040f5 	
| V:1 D:0 Tag: 0x8040fc 	
| V:1 D:0 Tag: 0x8040f4 	
| V:1 D:0 Tag: 0x8040fb 	
| V:1 D:0 Tag: 0x8040fa 	
| V:1 D:0 Tag: 0x804137 	
| V:1 D:0 Tag: 0x804136 	
| V:1 D:0 Tag: 0x804135 	
| V:1 D:0 Tag: 0x80413b 	
| V:1 D:0 Tag: 0x804138 	
| V:1 D:0 Tag: 0x804412 	
| V:1 D:0 Tag: 0x804411 	
| V:1 D:0 Tag: 0x804429 	
| V:1 D:0 Tag: 0x804428 	
| V:1 D:0 Tag: 0x804427 	
| V:1 D:0 Tag: 0x8042aa 	
| V:1 D:0 Tag: 0x8042a9 	
| V:1 D:0 Tag: 0x8042bc 	
| V:1 D:0 Tag: 0x8042bb 	
| V:1 D:0 Tag: 0x8042b2 	
| V:1 D:0 Tag: 0x8042b7 	
| V:1 D:0 Tag: 0x8042b1 	
| V:1 D:0 Tag: 0x804361 	
| V:1 D:0 Tag: 0x804360 	
| V:1 D:0 Tag: 0x804987 	
| V:1 D:0 Tag: 0x804986 	
| V:1 D:0 Tag: 0x80435f 	
| V:1 D:0 Tag: 0x8042b0 	
| V:1 D:0 Tag: 0x8042af 	
| V:1 D:0 Tag: 0x8043d7 	
| V:1 D:0 Tag: 0x8043d6 	
| V:1 D:0 Tag: 0x8043d5 	
| V:1 D:0 Tag: 0x8043d4 	
| V:1 D:0 Tag: 0x8043d3 	
| V:1 D:0 Tag: 0x8042ac 	
| V:1 D:0 Tag: 0x8042ab 	
| V:1 D:0 Tag: 0x8042a8 	
| V:1 D:0 Tag: 0x8042a7 	
| V:1 D:0 Tag: 0x804426 	
| V:1 D:0 Tag: 0x804410 	
| V:1 D:0 Tag: 0x80440e 	
| V:1 D:0 Tag: 0x80440d 	
| V:1 D:0 Tag: 0x80440a 	
| V:1 D:0 Tag: 0x804409 	
| V:1 D:0 Tag: 0x804407 	
| V:1 D:0 Tag: 0x804406 	
| V:1 D:0 Tag: 0x804405 	
| V:1 D:0 Tag: 0x804404 	
| V:1 D:0 Tag: 0x804132 	
| V:1 D:0 Tag: 0x804131 	
| V:1 D:0 Tag: 0x804130 	
| V:1 D:0 Tag: 0x80412f 	
| V:1 D:0 Tag: 0x80412e 	
| V:1 D:0 Tag: 0x80413d 	
| V:1 D:0 Tag: 0x8040f9 	
| V:1 D:0 Tag: 0x8040f8 	
| V:1 D:0 Tag: 0x8040f1 	
| V:1 D:0 Tag: 0x8040fd 	
| V:1 D:0 Tag: 0x8040f0 	
| V:1 D:0 Tag: 0x8040ef 	
| V:1 D:0 Tag: 0x803256 	
| V:1 D:0 Tag: 0x803255 	
| V:1 D:0 Tag: 0x8031df 	
| V:1 D:0 Tag: 0x8031de 	
| V:1 D:0 Tag: 0x8031e2 	
| V:1 D:0 Tag: 0x8049e8 	
| V:1 D:0 Tag: 0x8049e7 	
| V:1 D:0 Tag: 0x8049ea 	
| V:1 D:0 Tag: 0x8049e9 	
| V:1 D:0 Tag: 0x803f8f 	
| V:1 D:0 Tag: 0x8049e6 	
| V:1 D:0 Tag: 0x8049e5 	
| V:1 D:0 Tag: 0x8049e4 	
| V:1 D:0 Tag: 0x8049e3 	
| V:1 D:0 Tag: 0x8049e2 	
| V:1 D:0 Tag: 0x8031e1 	
| V:1 D:0 Tag: 0x804228 	
| V:1 D:0 Tag: 0x804227 	
| V:1 D:0 Tag: 0x804226 	
| V:1 D:0 Tag: 0x8031dd 	
| V:1 D:0 Tag: 0x8031dc 	
| V:1 D:0 Tag: 0x8031db 	
| V:1 D:0 Tag: 0x80323e 	
| V:1 D:0 Tag: 0x80323d 	
| V:1 D:0 Tag: 0x80323c 	
| V:1 D:0 Tag: 0x80323b 	
| V:1 D:0 Tag: 0x80323a 	
| V:1 D:0 Tag: 0x803239 	
| V:1 D:0 Tag: 0x802d94 	
| V:1 D:0 Tag: 0x802d93 	
| V:1 D:0 Tag: 0x802d92 	
| V:1 D:0 Tag: 0x802d9e 	
| V:1 D:0 Tag: 0x802d9d 	
| V:1 D:0 Tag: 0x802d91 	
| V:1 D:0 Tag: 0x802d90 	
| V:1 D:0 Tag: 0x802d98 	
