filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800e59 	
| V:1 D:0 Tag: 0x800e58 	
| V:1 D:0 Tag: 0x800550 	
| V:1 D:0 Tag: 0x80054f 	
| V:1 D:0 Tag: 0x8009a8 	
| V:1 D:0 Tag: 0x8009a7 	
| V:1 D:0 Tag: 0x8009a4 	
| V:1 D:0 Tag: 0x8009a3 	
| V:1 D:0 Tag: 0x8009a5 	
| V:1 D:0 Tag: 0x800747 	
| V:1 D:0 Tag: 0x800746 	
| V:1 D:0 Tag: 0x800745 	
| V:1 D:0 Tag: 0x800944 	
| V:1 D:0 Tag: 0x800943 	
| V:1 D:0 Tag: 0x800942 	
| V:1 D:0 Tag: 0x800947 	
| V:1 D:0 Tag: 0x800f02 	
| V:1 D:0 Tag: 0x800f01 	
| V:1 D:0 Tag: 0x800526 	
| V:1 D:0 Tag: 0x800525 	
| V:1 D:0 Tag: 0x800f00 	
| V:1 D:0 Tag: 0x800ea8 	
| V:1 D:0 Tag: 0x800ea7 	
| V:1 D:0 Tag: 0x800946 	
| V:1 D:0 Tag: 0x800941 	
| V:1 D:0 Tag: 0x800940 	
| V:1 D:0 Tag: 0x800819 	
| V:1 D:0 Tag: 0x800818 	
| V:1 D:0 Tag: 0x800817 	
| V:1 D:0 Tag: 0x800814 	
| V:1 D:0 Tag: 0x800813 	
| V:1 D:0 Tag: 0x80093f 	
| V:1 D:0 Tag: 0x80093e 	
| V:1 D:0 Tag: 0x80093d 	
| V:1 D:0 Tag: 0x800744 	
| V:1 D:0 Tag: 0x8009a6 	
| V:1 D:0 Tag: 0x80098a 	
| V:1 D:0 Tag: 0x800989 	
| V:1 D:0 Tag: 0x800988 	
| V:1 D:0 Tag: 0x800987 	
| V:1 D:0 Tag: 0x80098b 	
| V:1 D:0 Tag: 0x800986 	
| V:1 D:0 Tag: 0x80098c 	
| V:1 D:0 Tag: 0x801ea9 	
| V:1 D:0 Tag: 0x801ea8 	
| V:1 D:0 Tag: 0x801ea7 	
| V:1 D:0 Tag: 0x801ea6 	
| V:1 D:0 Tag: 0x800985 	
| V:1 D:0 Tag: 0x800983 	
| V:1 D:0 Tag: 0x801ea4 	
| V:1 D:0 Tag: 0x800982 	
| V:1 D:0 Tag: 0x8007fa 	
| V:1 D:0 Tag: 0x8007f9 	
| V:1 D:0 Tag: 0x8007fd 	
| V:1 D:0 Tag: 0x8007f8 	
| V:1 D:0 Tag: 0x80080c 	
| V:1 D:0 Tag: 0x80080b 	
| V:1 D:0 Tag: 0x8007f7 	
| V:1 D:0 Tag: 0x8007f6 	
| V:1 D:0 Tag: 0x8007f5 	
| V:1 D:0 Tag: 0x800873 	
| V:1 D:0 Tag: 0x800872 	
| V:1 D:0 Tag: 0x800871 	
| V:1 D:0 Tag: 0x800870 	
| V:1 D:0 Tag: 0x800e72 	
| V:1 D:0 Tag: 0x800e71 	
| V:1 D:0 Tag: 0x80086f 	
| V:1 D:0 Tag: 0x80086e 	
| V:1 D:0 Tag: 0x80086d 	
| V:1 D:0 Tag: 0x8007f4 	
| V:1 D:0 Tag: 0x800807 	
| V:1 D:0 Tag: 0x8007f3 	
| V:1 D:0 Tag: 0x8007f2 	
| V:1 D:0 Tag: 0x8007e3 	
| V:1 D:0 Tag: 0x8007e2 	
| V:1 D:0 Tag: 0x800984 	
| V:1 D:0 Tag: 0x800981 	
| V:1 D:0 Tag: 0x80097f 	
| V:1 D:0 Tag: 0x80097e 	
| V:1 D:0 Tag: 0x80097d 	
| V:1 D:0 Tag: 0x8009a2 	
| V:1 D:0 Tag: 0x80054e 	
| V:1 D:0 Tag: 0x80054b 	
| V:1 D:0 Tag: 0x80054a 	
| V:1 D:0 Tag: 0x800524 	
| V:1 D:0 Tag: 0x803867 	
| V:1 D:0 Tag: 0x803866 	
| V:1 D:0 Tag: 0x800015 	
| V:1 D:0 Tag: 0x800014 	
| V:1 D:0 Tag: 0x800013 	
| V:1 D:0 Tag: 0x800011 	
| V:1 D:0 Tag: 0x800010 	
| V:1 D:0 Tag: 0x800522 	
| V:1 D:0 Tag: 0x800521 	
| V:1 D:0 Tag: 0x800549 	
| V:1 D:0 Tag: 0x800548 	
| V:1 D:0 Tag: 0x800547 	
| V:1 D:0 Tag: 0x800546 	
| V:1 D:0 Tag: 0x800545 	
| V:1 D:0 Tag: 0x800544 	
| V:1 D:0 Tag: 0x80050a 	
| V:1 D:0 Tag: 0x800285 	
| V:1 D:0 Tag: 0x800284 	
| V:1 D:0 Tag: 0x800283 	
| V:1 D:0 Tag: 0x8005db 	
| V:1 D:0 Tag: 0x8005da 	
| V:1 D:0 Tag: 0x801865 	
| V:1 D:0 Tag: 0x801864 	
| V:1 D:0 Tag: 0x801863 	
| V:1 D:0 Tag: 0x801862 	
| V:1 D:0 Tag: 0x80187b 	
| V:1 D:0 Tag: 0x80187a 	
| V:1 D:0 Tag: 0x80187c 	
| V:1 D:0 Tag: 0x80186b 	
| V:1 D:0 Tag: 0x8018a6 	
| V:1 D:0 Tag: 0x8018a5 	
| V:1 D:0 Tag: 0x80087d 	
| V:1 D:0 Tag: 0x80087c 	
| V:1 D:0 Tag: 0x80087b 	
| V:1 D:0 Tag: 0x80087a 	
| V:1 D:0 Tag: 0x800879 	
| V:1 D:0 Tag: 0x80088b 	
| V:1 D:0 Tag: 0x800878 	
| V:1 D:0 Tag: 0x800877 	
| V:1 D:0 Tag: 0x800876 	
| V:1 D:0 Tag: 0x8018a4 	
| V:1 D:0 Tag: 0x8018a3 	
| V:1 D:0 Tag: 0x801eb1 	
| V:1 D:0 Tag: 0x801eb0 	
| V:1 D:0 Tag: 0x801eaf 	
| V:1 D:0 Tag: 0x801eae 	
| V:1 D:0 Tag: 0x801eab 	
| V:1 D:0 Tag: 0x801eaa 	
| V:1 D:0 Tag: 0x8018a2 	
| V:1 D:0 Tag: 0x8018be 	
| V:1 D:0 Tag: 0x8018bd 	
| V:1 D:0 Tag: 0x8018bc 	
| V:1 D:0 Tag: 0x8018bb 	
| V:1 D:0 Tag: 0x8018ba 	
| V:1 D:0 Tag: 0x8018b9 	
| V:1 D:0 Tag: 0x8019ac 	
| V:1 D:0 Tag: 0x80197b 	
| V:1 D:0 Tag: 0x80197a 	
| V:1 D:0 Tag: 0x8018b8 	
| V:1 D:0 Tag: 0x801950 	
| V:1 D:0 Tag: 0x80194f 	
| V:1 D:0 Tag: 0x8018b7 	
| V:1 D:0 Tag: 0x8018b6 	
| V:1 D:0 Tag: 0x8018b5 	
| V:1 D:0 Tag: 0x8018b4 	
| V:1 D:0 Tag: 0x8018b3 	
| V:1 D:0 Tag: 0x8018b2 	
| V:1 D:0 Tag: 0x8018b1 	
| V:1 D:0 Tag: 0x8018b0 	
| V:1 D:0 Tag: 0x80195b 	
| V:1 D:0 Tag: 0x80195a 	
| V:1 D:0 Tag: 0x801959 	
| V:1 D:0 Tag: 0x801993 	
| V:1 D:0 Tag: 0x801992 	
| V:1 D:0 Tag: 0x801991 	
| V:1 D:0 Tag: 0x801957 	
| V:1 D:0 Tag: 0x801975 	
| V:1 D:0 Tag: 0x801956 	
| V:1 D:0 Tag: 0x8018ad 	
| V:1 D:0 Tag: 0x8018c0 	
| V:1 D:0 Tag: 0x8019b1 	
| V:1 D:0 Tag: 0x8018bf 	
| V:1 D:0 Tag: 0x80186f 	
| V:1 D:0 Tag: 0x80186e 	
| V:1 D:0 Tag: 0x80186d 	
| V:1 D:0 Tag: 0x80186c 	
| V:1 D:0 Tag: 0x80186a 	
| V:1 D:0 Tag: 0x801869 	
| V:1 D:0 Tag: 0x801868 	
| V:1 D:0 Tag: 0x80199d 	
| V:1 D:0 Tag: 0x801871 	
| V:1 D:0 Tag: 0x801867 	
| V:1 D:0 Tag: 0x801866 	
| V:1 D:0 Tag: 0x801860 	
| V:1 D:0 Tag: 0x80185f 	
| V:1 D:0 Tag: 0x80185e 	
| V:1 D:0 Tag: 0x80185d 	
| V:1 D:0 Tag: 0x80185c 	
| V:1 D:0 Tag: 0x80185b 	
| V:1 D:0 Tag: 0x80185a 	
| V:1 D:0 Tag: 0x8005d9 	
| V:1 D:0 Tag: 0x8005d8 	
