filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x800a67 	
| V:1 D:0 Tag: 0x800a66 	
| V:1 D:0 Tag: 0x800183 	
| V:1 D:0 Tag: 0x80058d 	
| V:1 D:0 Tag: 0x80058c 	
| V:1 D:0 Tag: 0x800589 	
| V:1 D:0 Tag: 0x800588 	
| V:1 D:0 Tag: 0x80058a 	
| V:1 D:0 Tag: 0x80032b 	
| V:1 D:0 Tag: 0x80032a 	
| V:1 D:0 Tag: 0x800329 	
| V:1 D:0 Tag: 0x800529 	
| V:1 D:0 Tag: 0x800528 	
| V:1 D:0 Tag: 0x800527 	
| V:1 D:0 Tag: 0x80052c 	
| V:1 D:0 Tag: 0x80052b 	
| V:1 D:0 Tag: 0x800b0d 	
| V:1 D:0 Tag: 0x800177 	
| V:1 D:0 Tag: 0x800176 	
| V:1 D:0 Tag: 0x800b0c 	
| V:1 D:0 Tag: 0x800ab3 	
| V:1 D:0 Tag: 0x800526 	
| V:1 D:0 Tag: 0x800525 	
| V:1 D:0 Tag: 0x800524 	
| V:1 D:0 Tag: 0x8003fe 	
| V:1 D:0 Tag: 0x8003fd 	
| V:1 D:0 Tag: 0x8003fc 	
| V:1 D:0 Tag: 0x8003f9 	
| V:1 D:0 Tag: 0x8003f8 	
| V:1 D:0 Tag: 0x800523 	
| V:1 D:0 Tag: 0x800522 	
| V:1 D:0 Tag: 0x80058b 	
| V:1 D:0 Tag: 0x800587 	
| V:1 D:0 Tag: 0x80056f 	
| V:1 D:0 Tag: 0x80056e 	
| V:1 D:0 Tag: 0x80056d 	
| V:1 D:0 Tag: 0x80056c 	
| V:1 D:0 Tag: 0x80056b 	
| V:1 D:0 Tag: 0x80056a 	
| V:1 D:0 Tag: 0x800570 	
| V:1 D:0 Tag: 0x801c57 	
| V:1 D:0 Tag: 0x801c56 	
| V:1 D:0 Tag: 0x801c55 	
| V:1 D:0 Tag: 0x800568 	
| V:1 D:0 Tag: 0x800567 	
| V:1 D:0 Tag: 0x800571 	
| V:1 D:0 Tag: 0x801c54 	
| V:1 D:0 Tag: 0x801c53 	
| V:1 D:0 Tag: 0x801c52 	
| V:1 D:0 Tag: 0x8003df 	
| V:1 D:0 Tag: 0x8003de 	
| V:1 D:0 Tag: 0x8003e2 	
| V:1 D:0 Tag: 0x8003e1 	
| V:1 D:0 Tag: 0x8003dd 	
| V:1 D:0 Tag: 0x8003f0 	
| V:1 D:0 Tag: 0x8003dc 	
| V:1 D:0 Tag: 0x8003db 	
| V:1 D:0 Tag: 0x8003da 	
| V:1 D:0 Tag: 0x800457 	
