filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802ada 	
| V:1 D:0 Tag: 0x802ad9 	
| V:1 D:0 Tag: 0x802ad8 	
| V:1 D:0 Tag: 0x80213b 	
| V:1 D:0 Tag: 0x8025c9 	
| V:1 D:0 Tag: 0x8025c8 	
| V:1 D:0 Tag: 0x8025c4 	
| V:1 D:0 Tag: 0x8025c5 	
| V:1 D:0 Tag: 0x8025c7 	
| V:1 D:0 Tag: 0x802367 	
| V:1 D:0 Tag: 0x802366 	
| V:1 D:0 Tag: 0x802365 	
| V:1 D:0 Tag: 0x802565 	
| V:1 D:0 Tag: 0x802564 	
| V:1 D:0 Tag: 0x802563 	
| V:1 D:0 Tag: 0x802567 	
| V:1 D:0 Tag: 0x802c8a 	
| V:1 D:0 Tag: 0x802c89 	
| V:1 D:0 Tag: 0x801e3e 	
| V:1 D:0 Tag: 0x802c88 	
| V:1 D:0 Tag: 0x802b86 	
| V:1 D:0 Tag: 0x802b85 	
| V:1 D:0 Tag: 0x802566 	
| V:1 D:0 Tag: 0x802562 	
| V:1 D:0 Tag: 0x802561 	
| V:1 D:0 Tag: 0x802560 	
| V:1 D:0 Tag: 0x80243a 	
| V:1 D:0 Tag: 0x802439 	
| V:1 D:0 Tag: 0x802438 	
| V:1 D:0 Tag: 0x802435 	
| V:1 D:0 Tag: 0x802434 	
| V:1 D:0 Tag: 0x802433 	
| V:1 D:0 Tag: 0x80255f 	
| V:1 D:0 Tag: 0x80255e 	
| V:1 D:0 Tag: 0x802364 	
| V:1 D:0 Tag: 0x8025c6 	
| V:1 D:0 Tag: 0x8025c3 	
| V:1 D:0 Tag: 0x8025ab 	
| V:1 D:0 Tag: 0x8025aa 	
| V:1 D:0 Tag: 0x8025a9 	
| V:1 D:0 Tag: 0x8025a8 	
| V:1 D:0 Tag: 0x8025a7 	
| V:1 D:0 Tag: 0x8025a6 	
| V:1 D:0 Tag: 0x8025ac 	
| V:1 D:0 Tag: 0x803d99 	
| V:1 D:0 Tag: 0x803d98 	
| V:1 D:0 Tag: 0x803d97 	
| V:1 D:0 Tag: 0x8025a4 	
| V:1 D:0 Tag: 0x8025a3 	
| V:1 D:0 Tag: 0x8025ad 	
| V:1 D:0 Tag: 0x803d96 	
| V:1 D:0 Tag: 0x803d95 	
| V:1 D:0 Tag: 0x803d94 	
| V:1 D:0 Tag: 0x8025a2 	
| V:1 D:0 Tag: 0x8025a1 	
| V:1 D:0 Tag: 0x8025a0 	
| V:1 D:0 Tag: 0x80259f 	
| V:1 D:0 Tag: 0x80259e 	
| V:1 D:0 Tag: 0x80259d 	
| V:1 D:0 Tag: 0x8025c2 	
| V:1 D:0 Tag: 0x80213a 	
| V:1 D:0 Tag: 0x802139 	
| V:1 D:0 Tag: 0x802136 	
| V:1 D:0 Tag: 0x802135 	
| V:1 D:0 Tag: 0x801e3d 	
| V:1 D:0 Tag: 0x801e3c 	
| V:1 D:0 Tag: 0x805165 	
| V:1 D:0 Tag: 0x800015 	
| V:1 D:0 Tag: 0x800014 	
| V:1 D:0 Tag: 0x800013 	
| V:1 D:0 Tag: 0x800011 	
| V:1 D:0 Tag: 0x800010 	
| V:1 D:0 Tag: 0x805164 	
| V:1 D:0 Tag: 0x801e3b 	
| V:1 D:0 Tag: 0x801e3a 	
| V:1 D:0 Tag: 0x801e39 	
| V:1 D:0 Tag: 0x802134 	
| V:1 D:0 Tag: 0x802133 	
| V:1 D:0 Tag: 0x802132 	
| V:1 D:0 Tag: 0x802131 	
| V:1 D:0 Tag: 0x802130 	
| V:1 D:0 Tag: 0x80212f 	
| V:1 D:0 Tag: 0x800d0f 	
| V:1 D:0 Tag: 0x8021de 	
| V:1 D:0 Tag: 0x8021dd 	
| V:1 D:0 Tag: 0x8028c4 	
| V:1 D:0 Tag: 0x8028cc 	
| V:1 D:0 Tag: 0x8028c8 	
| V:1 D:0 Tag: 0x8028c7 	
| V:1 D:0 Tag: 0x80274b 	
| V:1 D:0 Tag: 0x80274a 	
| V:1 D:0 Tag: 0x80274f 	
| V:1 D:0 Tag: 0x80274e 	
| V:1 D:0 Tag: 0x80275b 	
| V:1 D:0 Tag: 0x80274d 	
| V:1 D:0 Tag: 0x80274c 	
| V:1 D:0 Tag: 0x802748 	
| V:1 D:0 Tag: 0x802747 	
| V:1 D:0 Tag: 0x802746 	
| V:1 D:0 Tag: 0x8028c6 	
| V:1 D:0 Tag: 0x8028c5 	
| V:1 D:0 Tag: 0x8028c3 	
| V:1 D:0 Tag: 0x8028c2 	
| V:1 D:0 Tag: 0x8021dc 	
| V:1 D:0 Tag: 0x8021db 	
| V:1 D:0 Tag: 0x8021d5 	
| V:1 D:0 Tag: 0x8021da 	
| V:1 D:0 Tag: 0x8021d9 	
| V:1 D:0 Tag: 0x8021d4 	
| V:1 D:0 Tag: 0x8021d3 	
| V:1 D:0 Tag: 0x80237d 	
| V:1 D:0 Tag: 0x80237c 	
| V:1 D:0 Tag: 0x8024df 	
| V:1 D:0 Tag: 0x8024de 	
| V:1 D:0 Tag: 0x8024d6 	
| V:1 D:0 Tag: 0x8024d5 	
| V:1 D:0 Tag: 0x80258d 	
| V:1 D:0 Tag: 0x80258c 	
| V:1 D:0 Tag: 0x80258b 	
| V:1 D:0 Tag: 0x80258a 	
| V:1 D:0 Tag: 0x802589 	
| V:1 D:0 Tag: 0x802588 	
| V:1 D:0 Tag: 0x80237a 	
| V:1 D:0 Tag: 0x802379 	
| V:1 D:0 Tag: 0x8021d2 	
| V:1 D:0 Tag: 0x8021d1 	
| V:1 D:0 Tag: 0x802393 	
| V:1 D:0 Tag: 0x802392 	
| V:1 D:0 Tag: 0x802391 	
| V:1 D:0 Tag: 0x802390 	
| V:1 D:0 Tag: 0x80239d 	
| V:1 D:0 Tag: 0x80239c 	
| V:1 D:0 Tag: 0x80253c 	
| V:1 D:0 Tag: 0x80253b 	
| V:1 D:0 Tag: 0x80253a 	
| V:1 D:0 Tag: 0x802539 	
| V:1 D:0 Tag: 0x802538 	
| V:1 D:0 Tag: 0x802537 	
| V:1 D:0 Tag: 0x802536 	
| V:1 D:0 Tag: 0x80238e 	
| V:1 D:0 Tag: 0x80238d 	
| V:1 D:0 Tag: 0x80248d 	
| V:1 D:0 Tag: 0x80248c 	
| V:1 D:0 Tag: 0x80248b 	
| V:1 D:0 Tag: 0x80238c 	
| V:1 D:0 Tag: 0x8025e5 	
| V:1 D:0 Tag: 0x8025e2 	
| V:1 D:0 Tag: 0x8025e1 	
| V:1 D:0 Tag: 0x80239b 	
| V:1 D:0 Tag: 0x80239e 	
| V:1 D:0 Tag: 0x80239a 	
| V:1 D:0 Tag: 0x802399 	
| V:1 D:0 Tag: 0x802398 	
| V:1 D:0 Tag: 0x802493 	
| V:1 D:0 Tag: 0x802492 	
| V:1 D:0 Tag: 0x802491 	
| V:1 D:0 Tag: 0x802b3f 	
| V:1 D:0 Tag: 0x802b3e 	
| V:1 D:0 Tag: 0x802490 	
| V:1 D:0 Tag: 0x80248f 	
| V:1 D:0 Tag: 0x80248e 	
| V:1 D:0 Tag: 0x802397 	
| V:1 D:0 Tag: 0x802396 	
| V:1 D:0 Tag: 0x802395 	
| V:1 D:0 Tag: 0x802394 	
| V:1 D:0 Tag: 0x80238b 	
| V:1 D:0 Tag: 0x80238a 	
| V:1 D:0 Tag: 0x8021d0 	
| V:1 D:0 Tag: 0x8021d6 	
| V:1 D:0 Tag: 0x8021ce 	
| V:1 D:0 Tag: 0x8021cd 	
| V:1 D:0 Tag: 0x8024dd 	
| V:1 D:0 Tag: 0x8024dc 	
| V:1 D:0 Tag: 0x8024e0 	
| V:1 D:0 Tag: 0x8024db 	
| V:1 D:0 Tag: 0x8024da 	
| V:1 D:0 Tag: 0x8024d9 	
| V:1 D:0 Tag: 0x8024e1 	
| V:1 D:0 Tag: 0x8024d8 	
| V:1 D:0 Tag: 0x8024d7 	
| V:1 D:0 Tag: 0x8021cc 	
| V:1 D:0 Tag: 0x800d0e 	
| V:1 D:0 Tag: 0x801282 	
| V:1 D:0 Tag: 0x801281 	
| V:1 D:0 Tag: 0x802213 	
| V:1 D:0 Tag: 0x802212 	
