filename = All-FA.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x802439 	
| V:1 D:0 Tag: 0x802438 	
| V:1 D:0 Tag: 0x802437 	
| V:1 D:0 Tag: 0x801775 	
| V:1 D:0 Tag: 0x801efc 	
| V:1 D:0 Tag: 0x801efb 	
| V:1 D:0 Tag: 0x801ef8 	
| V:1 D:0 Tag: 0x801ef7 	
| V:1 D:0 Tag: 0x801ef9 	
| V:1 D:0 Tag: 0x801c9b 	
| V:1 D:0 Tag: 0x801c9a 	
| V:1 D:0 Tag: 0x801c99 	
| V:1 D:0 Tag: 0x801e98 	
| V:1 D:0 Tag: 0x801e97 	
| V:1 D:0 Tag: 0x801e96 	
| V:1 D:0 Tag: 0x801e9b 	
| V:1 D:0 Tag: 0x8025e8 	
| V:1 D:0 Tag: 0x8025e7 	
| V:1 D:0 Tag: 0x801478 	
| V:1 D:0 Tag: 0x8025e6 	
| V:1 D:0 Tag: 0x8024e3 	
| V:1 D:0 Tag: 0x801e9a 	
| V:1 D:0 Tag: 0x801e95 	
| V:1 D:0 Tag: 0x801e94 	
| V:1 D:0 Tag: 0x801d6d 	
| V:1 D:0 Tag: 0x801d6c 	
| V:1 D:0 Tag: 0x801d6b 	
| V:1 D:0 Tag: 0x801d68 	
| V:1 D:0 Tag: 0x801d67 	
| V:1 D:0 Tag: 0x801e93 	
| V:1 D:0 Tag: 0x801e92 	
| V:1 D:0 Tag: 0x801e91 	
| V:1 D:0 Tag: 0x801c98 	
| V:1 D:0 Tag: 0x801efa 	
| V:1 D:0 Tag: 0x801ede 	
| V:1 D:0 Tag: 0x801edd 	
| V:1 D:0 Tag: 0x801edc 	
| V:1 D:0 Tag: 0x801edb 	
| V:1 D:0 Tag: 0x801edf 	
| V:1 D:0 Tag: 0x801eda 	
| V:1 D:0 Tag: 0x801ee0 	
| V:1 D:0 Tag: 0x8036a3 	
| V:1 D:0 Tag: 0x8036a1 	
| V:1 D:0 Tag: 0x801ed9 	
| V:1 D:0 Tag: 0x801ed7 	
| V:1 D:0 Tag: 0x8036a0 	
| V:1 D:0 Tag: 0x80369f 	
| V:1 D:0 Tag: 0x80369e 	
| V:1 D:0 Tag: 0x801ed6 	
| V:1 D:0 Tag: 0x801ed5 	
| V:1 D:0 Tag: 0x801ed3 	
| V:1 D:0 Tag: 0x801ed2 	
| V:1 D:0 Tag: 0x801ed1 	
| V:1 D:0 Tag: 0x801ef6 	
| V:1 D:0 Tag: 0x801774 	
| V:1 D:0 Tag: 0x801773 	
| V:1 D:0 Tag: 0x801770 	
| V:1 D:0 Tag: 0x80176f 	
| V:1 D:0 Tag: 0x801477 	
| V:1 D:0 Tag: 0x8047c9 	
| V:1 D:0 Tag: 0x800015 	
| V:1 D:0 Tag: 0x800014 	
| V:1 D:0 Tag: 0x800013 	
| V:1 D:0 Tag: 0x800011 	
| V:1 D:0 Tag: 0x800010 	
| V:1 D:0 Tag: 0x8047c8 	
| V:1 D:0 Tag: 0x801475 	
| V:1 D:0 Tag: 0x801474 	
| V:1 D:0 Tag: 0x801473 	
| V:1 D:0 Tag: 0x80176e 	
| V:1 D:0 Tag: 0x80176d 	
| V:1 D:0 Tag: 0x80176c 	
| V:1 D:0 Tag: 0x80176b 	
| V:1 D:0 Tag: 0x80176a 	
| V:1 D:0 Tag: 0x801769 	
| V:1 D:0 Tag: 0x800319 	
| V:1 D:0 Tag: 0x801ae2 	
| V:1 D:0 Tag: 0x801ae1 	
| V:1 D:0 Tag: 0x8021f8 	
| V:1 D:0 Tag: 0x8021f7 	
| V:1 D:0 Tag: 0x802200 	
| V:1 D:0 Tag: 0x8021fb 	
| V:1 D:0 Tag: 0x80207f 	
| V:1 D:0 Tag: 0x80207e 	
| V:1 D:0 Tag: 0x80207d 	
| V:1 D:0 Tag: 0x802083 	
| V:1 D:0 Tag: 0x802082 	
| V:1 D:0 Tag: 0x802081 	
| V:1 D:0 Tag: 0x80208e 	
| V:1 D:0 Tag: 0x802080 	
| V:1 D:0 Tag: 0x80207c 	
| V:1 D:0 Tag: 0x80207b 	
| V:1 D:0 Tag: 0x80207a 	
| V:1 D:0 Tag: 0x802079 	
| V:1 D:0 Tag: 0x8021fa 	
| V:1 D:0 Tag: 0x8021f9 	
| V:1 D:0 Tag: 0x8021f6 	
| V:1 D:0 Tag: 0x8021f5 	
| V:1 D:0 Tag: 0x801ae0 	
| V:1 D:0 Tag: 0x801adf 	
| V:1 D:0 Tag: 0x801ada 	
| V:1 D:0 Tag: 0x801ade 	
| V:1 D:0 Tag: 0x801ad9 	
| V:1 D:0 Tag: 0x801ad8 	
| V:1 D:0 Tag: 0x801ad7 	
| V:1 D:0 Tag: 0x801cb1 	
| V:1 D:0 Tag: 0x801cb0 	
| V:1 D:0 Tag: 0x801e13 	
| V:1 D:0 Tag: 0x801e12 	
| V:1 D:0 Tag: 0x801e0a 	
| V:1 D:0 Tag: 0x801e09 	
| V:1 D:0 Tag: 0x801ec1 	
| V:1 D:0 Tag: 0x801ec0 	
| V:1 D:0 Tag: 0x801ebf 	
| V:1 D:0 Tag: 0x801ebe 	
| V:1 D:0 Tag: 0x801ebd 	
| V:1 D:0 Tag: 0x801ebc 	
| V:1 D:0 Tag: 0x801caf 	
| V:1 D:0 Tag: 0x801cae 	
| V:1 D:0 Tag: 0x801cad 	
| V:1 D:0 Tag: 0x801ad6 	
| V:1 D:0 Tag: 0x801cc7 	
| V:1 D:0 Tag: 0x801cc6 	
| V:1 D:0 Tag: 0x801cc5 	
| V:1 D:0 Tag: 0x801cc4 	
| V:1 D:0 Tag: 0x801cd1 	
| V:1 D:0 Tag: 0x801cd0 	
| V:1 D:0 Tag: 0x801e70 	
| V:1 D:0 Tag: 0x801e6f 	
| V:1 D:0 Tag: 0x801e6d 	
| V:1 D:0 Tag: 0x801e6c 	
| V:1 D:0 Tag: 0x801e6b 	
| V:1 D:0 Tag: 0x801e6a 	
| V:1 D:0 Tag: 0x801ccf 	
| V:1 D:0 Tag: 0x801cc2 	
