filename = Config/All-FA_32.txt
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x80bdfa 	
| V:1 D:0 Tag: 0x80bdf9 	
| V:1 D:0 Tag: 0x80bdf8 	
| V:1 D:0 Tag: 0x80abad 	
| V:1 D:0 Tag: 0x80b6f9 	
| V:1 D:0 Tag: 0x80b6f8 	
| V:1 D:0 Tag: 0x80b6f4 	
| V:1 D:0 Tag: 0x80b6f5 	
| V:1 D:0 Tag: 0x80b6f6 	
| V:1 D:0 Tag: 0x80b6f3 	
| V:1 D:0 Tag: 0x80b6db 	
| V:1 D:0 Tag: 0x80b6da 	
| V:1 D:0 Tag: 0x80b6d9 	
| V:1 D:0 Tag: 0x80b6d8 	
| V:1 D:0 Tag: 0x80b6d7 	
| V:1 D:0 Tag: 0x80b6d6 	
| V:1 D:0 Tag: 0x80b6dc 	
| V:1 D:0 Tag: 0x80b11c 	
| V:1 D:0 Tag: 0x80b11b 	
| V:1 D:0 Tag: 0x80b11a 	
| V:1 D:0 Tag: 0x80b6d4 	
| V:1 D:0 Tag: 0x80b6d3 	
| V:1 D:0 Tag: 0x80b6dd 	
| V:1 D:0 Tag: 0x80b119 	
| V:1 D:0 Tag: 0x80b118 	
| V:1 D:0 Tag: 0x80b117 	
| V:1 D:0 Tag: 0x80b6d2 	
| V:1 D:0 Tag: 0x80b6d1 	
| V:1 D:0 Tag: 0x80b6d0 	
| V:1 D:0 Tag: 0x80b6cf 	
| V:1 D:0 Tag: 0x80b6ce 	
| V:1 D:0 Tag: 0x80b6cd 	
| V:1 D:0 Tag: 0x80b6f2 	
| V:1 D:0 Tag: 0x80abac 	
| V:1 D:0 Tag: 0x80abab 	
| V:1 D:0 Tag: 0x80aba8 	
| V:1 D:0 Tag: 0x80aba7 	
| V:1 D:0 Tag: 0x80a869 	
| V:1 D:0 Tag: 0x80a868 	
| V:1 D:0 Tag: 0x80dc2b 	
| V:1 D:0 Tag: 0x80dc2a 	
| V:1 D:0 Tag: 0x800015 	
| V:1 D:0 Tag: 0x800014 	
| V:1 D:0 Tag: 0x800013 	
| V:1 D:0 Tag: 0x800011 	
| V:1 D:0 Tag: 0x800010 	
