filename = Config/Base_32.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x80b6 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x80bb 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x80bb 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b2 	
| V:1 D:0 Tag: 0x809d 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80b1 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80dc 	
| V:1 D:0 Tag: 0x80dc 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80ad 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80b4 	
| V:1 D:0 Tag: 0x80b5 	
| V:1 D:0 Tag: 0x80a5 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x809a 	
| V:1 D:0 Tag: 0x80bb 	
| V:1 D:0 Tag: 0x80bb 	
| V:1 D:0 Tag: 0x80bb 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x80ae 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x809b 	
| V:1 D:0 Tag: 0x80a1 	
| V:1 D:0 Tag: 0x80ae 	
