filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8037 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8035 	
| V:1 D:0 Tag: 0x8035 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8000 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8022 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x801e 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x800d 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8035 	
| V:1 D:0 Tag: 0x8035 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:0 Tag: 0x804c 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8009 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x802a 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8034 	
| V:1 D:0 Tag: 0x804b 	
| V:1 D:0 Tag: 0x8012 	
| V:1 D:0 Tag: 0x8012 	
| V:1 D:0 Tag: 0x8012 	
| V:1 D:0 Tag: 0x8019 	
| V:1 D:0 Tag: 0x8019 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x802b 	
| V:1 D:0 Tag: 0x8019 	
| V:1 D:0 Tag: 0x802c 	
| V:1 D:0 Tag: 0x802c 	
| V:1 D:0 Tag: 0x802c 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8024 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x803d 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8023 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x804b 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8025 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8027 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x803e 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x803e 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8021 	
| V:1 D:0 Tag: 0x8036 	
| V:1 D:0 Tag: 0x8025 	
