filename = Config/All-FA_64.txt
L1ICost 1800
L1DCost 1800
I2 Size 65536
L2Cost 550
MainMemoryLatencyCost 50
BandwithCost 225
totalCost 4425
=========================L1I=========================
Index: 0x0 | V:1 D:0 Tag: 0x808d47 	
| V:1 D:0 Tag: 0x808d46 	
| V:1 D:0 Tag: 0x809008 	
| V:1 D:0 Tag: 0x809007 	
| V:1 D:0 Tag: 0x809006 	
| V:1 D:0 Tag: 0x808ef6 	
| V:1 D:0 Tag: 0x808f26 	
| V:1 D:0 Tag: 0x808ef5 	
| V:1 D:0 Tag: 0x808ef4 	
| V:1 D:0 Tag: 0x808efb 	
| V:1 D:0 Tag: 0x808efa 	
| V:1 D:0 Tag: 0x808ef9 	
| V:1 D:0 Tag: 0x808fda 	
| V:1 D:0 Tag: 0x808fd9 	
| V:1 D:0 Tag: 0x808fd8 	
| V:1 D:0 Tag: 0x808d4a 	
| V:1 D:0 Tag: 0x808d49 	
| V:1 D:0 Tag: 0x808d56 	
| V:1 D:0 Tag: 0x808d55 	
| V:1 D:0 Tag: 0x808d66 	
| V:1 D:0 Tag: 0x808d54 	
| V:1 D:0 Tag: 0x808d53 	
| V:1 D:0 Tag: 0x808d65 	
| V:1 D:0 Tag: 0x808d64 	
| V:1 D:0 Tag: 0x808d63 	
| V:1 D:0 Tag: 0x8052e5 	
| V:1 D:0 Tag: 0x8052e4 	
| V:1 D:0 Tag: 0x8052bc 	
| V:1 D:0 Tag: 0x8052bb 	
| V:1 D:0 Tag: 0x8076d6 	
| V:1 D:0 Tag: 0x8076d5 	
| V:1 D:0 Tag: 0x8052ba 	
| V:1 D:0 Tag: 0x808d62 	
| V:1 D:0 Tag: 0x808d52 	
| V:1 D:0 Tag: 0x808d5d 	
| V:1 D:0 Tag: 0x808d5c 	
| V:1 D:0 Tag: 0x808d5b 	
| V:1 D:0 Tag: 0x808d61 	
| V:1 D:0 Tag: 0x808d60 	
| V:1 D:0 Tag: 0x808d5f 	
